building_name,borough,total_units,tds,transferred_date,page_number,bbl,bldg,m,address,zip_code,cd_,fc_,ss_,sa_,cc_,bin,3018020043,12,250_lexington_avenue,11216,3,08,25,57,36,3050586,3018040010,390_lexington_avenue,56,3322214,3021450001,45_south_10th_street,11249,1,07,18,50,34,3000000,2022690100,8,401_saint_anns_avenue,10454,14,29,84,2090993,2022870135,490_east_143rd_street,15,2000433,1021070059,1949_amsterdam_avenue,10032,13,31,71,10,1062490,3043770001,17,884_ashford_street,11207,5,19,60,42,3324274,3033410001,32,1260_gates_avenue,11221,4,54,37,3326137,3033340001,365_wilson_avenue,53,3338493,2049050001,33,1141_226th_drive,10466,16,83,2094164,1020160060,6,2651_a_c_powell_boulevard,10039,30,09,1084139,3033150001,2,140_menahan_street,3394310,3014710061,1747_saint_johns_place,11233,55,41,3014700160,1679_saint_johns_place,3392746,3014700015,1720a_sterling_place,3348327,3014710014,1790b_sterling_place,3393524,3014390010,2020_pacific_street,3038674,1020150005,164_west_147th_street,1079768,2026800001,1113_prospect_avenue,10459,79,2091984,3013410001,1605_dean_street,11213,20,3324581,3021400026,195_division_avenue,11211,3251681,3030260001,161_scholes_street,11206,3344974,3030240001,112_maujer_street,3327882,3030250046,247_graham_avenue,3327884
ARMSTRONG I,BROOKLYN,371,210,2/12/2020,1,3017940011,1,M,344 CLIFTON PLACE,11216,3,08,25,56,36,3050169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMSTRONG I,BROOKLYN,371,210,2/12/2020,1,3018020051,10,M,360 NOSTRAND AVENUE,11216,3,08,25,57,36,3350437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMSTRONG I,BROOKLYN,371,210,2/12/2020,1,3018020051,11,,260 LEXINGTON AVENUE,11216,3,08,25,57,36,3050588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMSTRONG I,BROOKLYN,371,210,2/12/2020,1,3018020051,11,,262 LEXINGTON AVENUE,11216,3,08,25,57,36,3050588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMSTRONG I,BROOKLYN,371,210,2/12/2020,1,3018020051,11,,264 LEXINGTON AVENUE,11216,3,08,25,57,36,3050588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMSTRONG I,BROOKLYN,371,210,2/12/2020,1,3018020051,12,M,254 LEXINGTON AVENUE,11216,3,08,25,57,36,3050588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMSTRONG I,BROOKLYN,371,210,2/12/2020,1,3018020044,12,,252A LEXINGTON AVENUE,11216,3,08,25,57,36,3050587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMSTRONG I,BROOKLYN,371,210,2/12/2020,1,3018020044,12,M,252 LEXINGTON AVENUE,11216,3,08,25,57,36,3050587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMSTRONG II,BROOKLYN,248,228,2/12/2020,2,,,M,,,,,,,,,3017940121,2,366 CLIFTON PLACE,11216,3,08,25,56,36,3322159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMSTRONG II,BROOKLYN,248,228,2/12/2020,2,,,M,,,,,,,,,3017940121,2,380 CLIFTON PLACE,11216,3,08,25,56,36,3322159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMSTRONG II,BROOKLYN,248,228,2/12/2020,2,,,M,,,,,,,,,3017940139,3,388 CLIFTON PLACE,11216,3,08,25,56,36,3322161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMSTRONG II,BROOKLYN,248,228,2/12/2020,2,,,M,,,,,,,,,3017940139,3,396 CLIFTON PLACE,11216,3,08,25,56,36,3322161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMSTRONG II,BROOKLYN,248,228,2/12/2020,2,,,M,,,,,,,,,3017940054,4,545 GREENE AVENUE,11216,3,08,25,56,36,3322152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMSTRONG II,BROOKLYN,248,228,2/12/2020,2,,,M,,,,,,,,,3017940054,4,555 GREENE AVENUE,11216,3,08,25,56,36,3397846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMSTRONG II,BROOKLYN,248,228,2/12/2020,2,,,M,,,,,,,,,3018030124,5,304 LEXINGTON AVENUE,11216,3,08,25,56,36,3050667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMSTRONG II,BROOKLYN,248,228,2/12/2020,2,,,M,,,,,,,,,3018030123,5,302 LEXINGTON AVENUE,11216,3,08,25,56,36,3050666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMSTRONG II,BROOKLYN,248,228,2/12/2020,2,,,M,,,,,,,,,3018030122,5,300 LEXINGTON AVENUE,11216,3,08,25,56,36,3050665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMSTRONG II,BROOKLYN,248,228,2/12/2020,2,,,M,,,,,,,,,3018030121,5,298 LEXINGTON AVENUE,11216,3,08,25,56,36,3050664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMSTRONG II,BROOKLYN,248,228,2/12/2020,2,,,M,,,,,,,,,3018030120,5,296 LEXINGTON AVENUE,11216,3,08,25,56,36,3050663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMSTRONG II,BROOKLYN,248,228,2/12/2020,2,,,M,,,,,,,,,3018030119,5,294 LEXINGTON AVENUE,11216,3,08,25,56,36,3050662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMSTRONG II,BROOKLYN,248,228,2/12/2020,2,,,M,,,,,,,,,3018030118,5,292 LEXINGTON AVENUE,11216,3,08,25,56,36,3050661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMSTRONG II,BROOKLYN,248,228,2/12/2020,2,,,M,,,,,,,,,3018030117,5,290 LEXINGTON AVENUE,11216,3,08,25,56,36,3050660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMSTRONG II,BROOKLYN,248,228,2/12/2020,2,,,M,,,,,,,,,3018030116,5,288 LEXINGTON AVENUE,11216,3,08,25,56,36,3050659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMSTRONG II,BROOKLYN,248,228,2/12/2020,2,,,M,,,,,,,,,3018030115,5,286 LEXINGTON AVENUE,11216,3,08,25,56,36,3050658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMSTRONG II,BROOKLYN,248,228,2/12/2020,2,,,M,,,,,,,,,3018030114,5,284 LEXINGTON AVENUE,11216,3,08,25,56,36,3050657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMSTRONG II,BROOKLYN,248,228,2/12/2020,2,,,M,,,,,,,,,3018030113,5,282 LEXINGTON AVENUE,11216,3,08,25,56,36,3050656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMSTRONG II,BROOKLYN,248,228,2/12/2020,2,,,M,,,,,,,,,3018030112,5,280 LEXINGTON AVENUE,11216,3,08,25,56,36,3050655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMSTRONG II,BROOKLYN,248,228,2/12/2020,2,,,M,,,,,,,,,3018030011,5,278 LEXINGTON AVENUE,11216,3,08,25,56,36,3050619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMSTRONG II,BROOKLYN,248,228,2/12/2020,2,,,M,,,,,,,,,3018030027,6,310 LEXINGTON AVENUE,11216,3,08,25,56,36,3322207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMSTRONG II,BROOKLYN,248,228,2/12/2020,2,,,M,,,,,,,,,3018030027,6,320 LEXINGTON AVENUE,11216,3,08,25,56,36,3322207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMSTRONG II,BROOKLYN,248,228,2/12/2020,2,,,M,,,,,,,,,3018030042,7,330 LEXINGTON AVENUE,11216,3,08,25,56,36,3322209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMSTRONG II,BROOKLYN,248,228,2/12/2020,2,,,M,,,,,,,,,3018030042,7,336 LEXINGTON AVENUE,11216,3,08,25,56,36,3322209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMSTRONG II,BROOKLYN,248,228,2/12/2020,2,,,M,,,,,,,,,3018080174,8,435 GATES AVENUE,11216,3,08,25,56,36,3322226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMSTRONG II,BROOKLYN,248,228,2/12/2020,2,,,M,,,,,,,,,3018080174,8,441 GATES AVENUE,11216,3,08,25,56,36,3322226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMSTRONG II,BROOKLYN,248,228,2/12/2020,2,,,M,,,,,,,,,3018080173,9,447 GATES AVENUE,11216,3,08,25,56,36,3050927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMSTRONG II,BROOKLYN,248,228,2/12/2020,2,,,M,,,,,,,,,3018080172,9,449 GATES AVENUE,11216,3,08,25,56,36,3050926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMSTRONG II,BROOKLYN,248,228,2/12/2020,2,,,M,,,,,,,,,3018080171,9,451 GATES AVENUE,11216,3,08,25,56,36,3050925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMSTRONG II,BROOKLYN,248,228,2/12/2020,2,,,M,,,,,,,,,3018080170,9,453 GATES AVENUE,11216,3,08,25,56,36,3050924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMSTRONG II,BROOKLYN,248,228,2/12/2020,2,,,M,,,,,,,,,3018080169,9,455 GATES AVENUE,11216,3,08,25,56,36,3050923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMSTRONG II,BROOKLYN,248,228,2/12/2020,2,,,M,,,,,,,,,3018080168,9,457 GATES AVENUE,11216,3,08,25,56,36,3050922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
